C,gamma,kernel,roc_auc, F1,recall,precision
3000,10,sigmoid,0.57,0.227,0.57,0.142
1500,10,sigmoid,0.569,0.227,0.574,0.141
1500,10,sigmoid,0.569,0.227,0.574,0.141
1,100,sigmoid,0.569,0.226,0.57,0.141
1,100,sigmoid,0.569,0.226,0.57,0.141
10,10,sigmoid,0.569,0.227,0.57,0.141
10,10,sigmoid,0.569,0.227,0.57,0.141
0.1,100,sigmoid,0.568,0.226,0.57,0.141
0.1,100,sigmoid,0.568,0.226,0.57,0.141
0.1,10,sigmoid,0.568,0.226,0.57,0.141
0.1,10,sigmoid,0.568,0.226,0.57,0.141
1300,auto,poly,0.568,0.23,0.296,0.188
1300,auto,poly,0.568,0.23,0.296,0.188
1500,scale,poly,0.568,0.229,0.292,0.189
1000,scale,poly,0.567,0.229,0.296,0.186
1400,auto,poly,0.566,0.227,0.292,0.185
1400,auto,poly,0.566,0.227,0.292,0.185
1200,0.01,poly,0.566,0.227,0.285,0.189
100,10,sigmoid,0.564,0.223,0.563,0.139
100,10,sigmoid,0.564,0.223,0.563,0.139
1,10,sigmoid,0.563,0.223,0.56,0.139
1,10,sigmoid,0.563,0.223,0.56,0.139
2000,0.01,poly,0.563,0.223,0.289,0.182
1300,0.01,poly,0.563,0.223,0.282,0.184
1400,0.01,poly,0.56,0.219,0.278,0.18
1500,0.01,poly,0.559,0.218,0.278,0.179
1500,auto,poly,0.558,0.216,0.278,0.177
1500,auto,poly,0.558,0.216,0.278,0.177
2000,scale,poly,0.557,0.214,0.275,0.175
0.1,1,sigmoid,0.556,0.217,0.542,0.136
0.1,1,sigmoid,0.556,0.217,0.542,0.136
10,0.1,poly,0.556,0.214,0.275,0.175
1200,1,sigmoid,0.555,0.217,0.539,0.136
1200,1,sigmoid,0.555,0.217,0.539,0.136
1,1,sigmoid,0.555,0.217,0.539,0.136
1,1,sigmoid,0.555,0.217,0.539,0.136
3000,auto,poly,0.555,0.212,0.271,0.174
3000,auto,poly,0.555,0.212,0.271,0.174
1300,1,sigmoid,0.554,0.216,0.535,0.135
1300,1,sigmoid,0.554,0.216,0.535,0.135
10,1,sigmoid,0.554,0.216,0.535,0.135
10,1,sigmoid,0.554,0.216,0.535,0.135
100,1,sigmoid,0.554,0.216,0.535,0.135
100,1,sigmoid,0.554,0.216,0.535,0.135
2000,1,sigmoid,0.553,0.215,0.535,0.135
3000,1,sigmoid,0.553,0.215,0.535,0.135
2000,1,sigmoid,0.553,0.215,0.535,0.135
3000,1,sigmoid,0.553,0.215,0.535,0.135
3000,scale,poly,0.553,0.21,0.271,0.171
1400,1,sigmoid,0.552,0.215,0.532,0.134
1400,1,sigmoid,0.552,0.215,0.532,0.134
1500,1,sigmoid,0.552,0.215,0.532,0.134
1500,1,sigmoid,0.552,0.215,0.532,0.134
1000,1,sigmoid,0.551,0.214,0.532,0.134
1000,1,sigmoid,0.551,0.214,0.532,0.134
2000,auto,poly,0.551,0.206,0.264,0.169
2000,auto,poly,0.551,0.206,0.264,0.169
0.1,1,poly,0.545,0.197,0.243,0.165
100,0.1,poly,0.545,0.197,0.243,0.165
10,0.001,poly,0.536,0.148,0.095,0.338
2000,0.0001,poly,0.535,0.155,0.113,0.25
3000,0.0001,poly,0.515,0.075,0.042,0.316
1500,0.0001,poly,0.503,0.201,0.996,0.112
1300,0.0001,poly,0.502,0.2,0.996,0.111
1400,0.0001,poly,0.502,0.2,0.996,0.111
2000,1.00E-05,poly,0.501,0.2,1,0.111
3000,1.00E-05,poly,0.501,0.2,1,0.111
1400,1.00E-05,poly,0.501,0.2,1,0.111
1000,0.0001,poly,0.501,0.2,1,0.111
1000,1.00E-05,poly,0.501,0.2,1,0.111
1200,1.00E-05,poly,0.501,0.2,1,0.111
1200,0.0001,poly,0.501,0.2,1,0.111
1500,1.00E-05,poly,0.501,0.2,1,0.111
1,0.001,poly,0.501,0.2,1,0.111
10,0.0001,poly,0.501,0.2,1,0.111
10,1.00E-05,poly,0.501,0.2,1,0.111
1,0.0001,poly,0.501,0.2,1,0.111
1,1.00E-05,poly,0.501,0.2,1,0.111
1300,1.00E-05,poly,0.501,0.2,1,0.111
0.1,1.00E-06,poly,0.501,0.2,1,0.111
0.1,1.00E-05,poly,0.501,0.2,1,0.111
0.1,0.001,poly,0.501,0.2,1,0.111
0.1,0.0001,poly,0.501,0.2,1,0.111
100,1.00E-05,poly,0.501,0.2,1,0.111
100,0.0001,poly,0.501,0.2,1,0.111
